cycle,name,latent_period
411,Residents49,5
559,Residents54,9
586,Residents92,9
622,Residents58,2
629,Residents2,4
686,Residents1,4
763,Residents0,4
812,Staff128,4
817,Residents91,6
860,Residents37,6
1005,Residents114,2
1008,Residents79,3
1031,Residents38,6
1059,Residents115,2
1084,Residents81,6
1143,Residents80,4
1180,Residents83,6
1191,Residents116,5
1217,Residents78,4
1310,Residents63,3
1432,Residents64,4
1495,Residents13,6
1527,Residents65,5
1634,Residents12,8
1698,Residents14,3
2107,Staff57,2
